,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Year,Board_Type,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Alexander Zverev,300.3,71.2%,76.8%,54.8%,90.2%,9.5,2.2,2024,serve,,,,,
2,Giovanni Mpetshi Perricard,299.5,64.7%,79.7%,52.8%,88.8%,19.0,5.5,2024,serve,,,,,
3,Matteo Berrettini,296.2,68.2%,77.6%,52.7%,89.8%,9.4,1.5,2024,serve,,,,,
4,Hubert Hurkacz,295.8,63.2%,77.7%,54.5%,88.7%,13.4,1.7,2024,serve,,,,,
5,Jannik Sinner,295.6,61.4%,79.4%,57.9%,91.4%,7.4,1.9,2024,serve,,,,,
6,Ben Shelton,294.0,68.7%,76.0%,54.1%,89.1%,9.5,3.4,2024,serve,,,,,
7,Taylor Fritz,293.0,62.3%,78.4%,55.2%,88.3%,10.5,1.7,2024,serve,,,,,
8,Brandon Nakashima,291.3,66.0%,74.4%,55.7%,87.7%,8.6,1.1,2024,serve,,,,,
9,Grigor Dimitrov,285.0,61.1%,79.9%,52.2%,87.2%,8.3,3.7,2024,serve,,,,,
10,Novak Djokovic,284.4,63.7%,75.4%,55.1%,85.7%,7.1,2.6,2024,serve,,,,,
11,Andrey Rublev,284.4,61.7%,76.6%,53.6%,86.7%,8.4,2.6,2024,serve,,,,,
12,Carlos Alcaraz,283.8,65.3%,73.0%,57.4%,85.5%,4.7,2.1,2024,serve,,,,,
13,Ugo Humbert,282.8,63.7%,73.0%,55.4%,85.7%,7.0,2.0,2024,serve,,,,,
14,Lorenzo Sonego,281.1,67.4%,73.6%,51.6%,83.9%,6.5,1.9,2024,serve,,,,,
15,Alexei Popyrin,280.8,63.9%,75.0%,50.5%,84.4%,10.2,3.2,2024,serve,,,,,
16,Casper Ruud,279.9,65.4%,72.9%,53.9%,83.9%,5.9,2.1,2024,serve,,,,,
17,Stefanos Tsitsipas,279.9,60.6%,74.6%,54.5%,86.3%,6.9,3.0,2024,serve,,,,,
18,Karen Khachanov,279.6,64.3%,74.3%,52.3%,82.9%,7.5,1.7,2024,serve,,,,,
19,Jiri Lehecka,279.5,61.1%,76.1%,52.1%,84.7%,8.1,2.6,2024,serve,,,,,
20,Tallon Griekspoor,279.4,63.2%,74.4%,52.7%,83.8%,9.0,3.7,2024,serve,,,,,
21,Arthur Rinderknech,279.4,62.5%,76.4%,49.3%,82.9%,11.0,2.7,2024,serve,,,,,
