Unnamed: 0,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Year,Board_Type,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Alex de Minaur,,,,,,,,2024,return,165.6,33.0%,55.9%,31.6%,45.1%
2,Carlos Alcaraz,,,,,,,,2024,return,162.2,34.4%,54.3%,30.8%,42.7%
3,Jannik Sinner,,,,,,,,2024,return,158.4,31.7%,56.1%,28.3%,42.3%
4,Novak Djokovic,,,,,,,,2024,return,157.7,32.6%,54.7%,29.0%,41.4%
5,Tommy Paul,,,,,,,,2024,return,157.2,33.8%,52.2%,28.6%,42.6%
6,Mariano Navone,,,,,,,,2024,return,156.9,33.4%,51.9%,28.5%,43.1%
7,Daniil Medvedev,,,,,,,,2024,return,156.5,32.2%,52.8%,27.5%,44.0%
8,Sebastian Baez,,,,,,,,2024,return,152.6,33.2%,51.1%,27.4%,40.9%
9,Jaume Munar,,,,,,,,2024,return,151.1,34.5%,51.6%,27.3%,37.7%
10,Jack Draper,,,,,,,,2024,return,149.3,29.7%,51.0%,24.8%,43.8%
11,Facundo Diaz Acosta,,,,,,,,2024,return,147.7,31.7%,50.9%,25.1%,40.0%
12,Tomas Machac,,,,,,,,2024,return,147.5,29.4%,51.5%,24.3%,42.3%
13,David Goffin,,,,,,,,2024,return,147.4,30.7%,51.1%,26.2%,39.4%
14,Francisco Cerundolo,,,,,,,,2024,return,147.2,31.3%,49.8%,24.1%,42.0%
15,Pedro Martinez,,,,,,,,2024,return,144.5,29.1%,52.7%,23.2%,39.5%
16,Matteo Arnaldi,,,,,,,,2024,return,144.3,31.4%,48.3%,23.8%,40.8%
17,Alexandre Muller,,,,,,,,2024,return,144.1,27.4%,53.4%,23.7%,39.6%
18,Casper Ruud,,,,,,,,2024,return,143.7,29.6%,50.3%,23.8%,40.0%
19,Alex Michelsen,,,,,,,,2024,return,142.4,28.6%,50.2%,22.5%,41.1%
20,Roberto Bautista Agut,,,,,,,,2024,return,142.2,27.0%,53.1%,21.0%,41.1%
21,Dusan Lajovic,,,,,,,,2024,return,142.1,29.2%,50.0%,22.7%,40.2%
22,Alejandro Davidovich Fokina,,,,,,,,2024,return,141.4,29.1%,50.3%,22.6%,39.4%
23,Fabian Marozsan,,,,,,,,2024,return,141.3,27.5%,51.4%,21.4%,41.0%
24,Nuno Borges,,,,,,,,2024,return,141.1,28.7%,52.6%,21.3%,38.5%
25,Sebastian Korda,,,,,,,,2024,return,140.9,28.3%,52.1%,22.2%,38.3%
26,Karen Khachanov,,,,,,,,2024,return,140.9,27.5%,51.9%,21.7%,39.8%
27,Alexander Zverev,,,,,,,,2024,return,140.3,29.5%,51.4%,22.3%,37.1%
28,Cameron Norrie,,,,,,,,2024,return,140.2,28.9%,49.6%,21.9%,39.8%
29,Luciano Darderi,,,,,,,,2024,return,139.6,28.4%,50.7%,21.4%,39.1%
30,Alexander Shevchenko,,,,,,,,2024,return,139.0,28.4%,50.5%,19.9%,40.2%
31,Grigor Dimitrov,,,,,,,,2024,return,138.9,28.8%,51.1%,21.6%,37.4%
32,Felix Auger-Aliassime,,,,,,,,2024,return,138.8,30.6%,47.1%,20.2%,40.9%
33,Flavio Cobolli,,,,,,,,2024,return,138.6,27.0%,50.3%,21.3%,40.0%
34,Tomas Martin Etcheverry,,,,,,,,2024,return,138.4,27.9%,50.9%,21.9%,37.7%
35,Lorenzo Musetti,,,,,,,,2024,return,138.4,28.5%,51.5%,21.5%,36.9%
36,Ugo Humbert,,,,,,,,2024,return,138.3,28.7%,50.1%,21.8%,37.7%
37,Arthur Fils,,,,,,,,2024,return,138.0,29.4%,48.4%,20.3%,39.9%
38,Jakub Mensik,,,,,,,,2024,return,138.0,27.2%,50.5%,20.1%,40.2%
39,Stefanos Tsitsipas,,,,,,,,2024,return,137.9,27.9%,47.8%,21.5%,40.7%
40,Botic van de Zandschulp,,,,,,,,2024,return,137.9,28.9%,50.5%,21.2%,37.3%
41,Roberto Carballes Baena,,,,,,,,2024,return,137.5,29.9%,50.7%,21.2%,35.7%
42,Pavel Kotov,,,,,,,,2024,return,137.3,27.6%,48.4%,20.2%,41.1%
43,Andrey Rublev,,,,,,,,2024,return,136.0,28.2%,51.9%,20.4%,35.5%
44,Alejandro Tabilo,,,,,,,,2024,return,136.0,26.7%,50.7%,19.4%,39.2%
45,Taylor Fritz,,,,,,,,2024,return,135.6,27.5%,49.6%,20.0%,38.5%
46,Sebastian Ofner,,,,,,,,2024,return,135.3,27.7%,47.1%,18.3%,42.2%
47,Miomir Kecmanovic,,,,,,,,2024,return,135.1,27.0%,51.0%,19.8%,37.3%
48,Alexander Bublik,,,,,,,,2024,return,134.9,29.4%,46.2%,19.5%,39.8%
49,Thiago Seyboth Wild,,,,,,,,2024,return,134.2,26.9%,47.0%,18.3%,42.0%
50,Yoshihito Nishioka,,,,,,,,2024,return,134.0,25.2%,50.0%,19.5%,39.3%
1,Daniil Medvedev,,,,,,,,2023,return,163.3,33.0%,54.2%,30.1%,46.0%
2,Novak Djokovic,,,,,,,,2023,return,159.3,33.2%,54.8%,29.2%,42.1%
3,Carlos Alcaraz,,,,,,,,2023,return,159.0,34.6%,53.9%,30.7%,39.8%
4,Alex de Minaur,,,,,,,,2023,return,157.1,33.3%,52.1%,28.6%,43.1%
5,Jannik Sinner,,,,,,,,2023,return,156.5,32.0%,54.4%,28.2%,41.9%
6,Jack Draper,,,,,,,,2023,return,154.7,30.1%,52.5%,27.5%,44.6%
7,Alejandro Davidovich Fokina,,,,,,,,2023,return,154.6,30.8%,52.9%,26.3%,44.6%
8,Adrian Mannarino,,,,,,,,2023,return,154.3,29.3%,52.1%,25.6%,47.3%
9,Lorenzo Musetti,,,,,,,,2023,return,152.5,31.9%,51.4%,26.2%,43.0%
10,Bernabe Zapata Miralles,,,,,,,,2023,return,152.2,32.6%,50.8%,27.2%,41.6%
11,Francisco Cerundolo,,,,,,,,2023,return,151.6,33.0%,51.2%,27.8%,39.6%
12,Sebastian Baez,,,,,,,,2023,return,151.3,31.4%,52.5%,26.6%,40.8%
13,Mackenzie McDonald,,,,,,,,2023,return,149.5,29.2%,53.5%,23.8%,43.0%
14,Jaume Munar,,,,,,,,2023,return,149.4,32.8%,49.0%,25.7%,41.9%
15,Pedro Martinez,,,,,,,,2023,return,147.5,29.1%,50.4%,24.0%,44.0%
16,Cameron Norrie,,,,,,,,2023,return,147.0,30.9%,51.0%,25.2%,39.9%
17,Taylor Fritz,,,,,,,,2023,return,146.2,28.4%,53.0%,22.7%,42.1%
18,Andrey Rublev,,,,,,,,2023,return,146.1,29.8%,52.7%,24.6%,39.0%
19,Grigor Dimitrov,,,,,,,,2023,return,146.0,30.0%,51.3%,24.1%,40.6%
20,Karen Khachanov,,,,,,,,2023,return,146.0,30.3%,51.3%,23.5%,40.9%
21,Juan Pablo Varillas,,,,,,,,2023,return,145.4,29.7%,52.1%,22.4%,41.2%
22,Roman Safiullin,,,,,,,,2023,return,145.3,28.6%,50.5%,21.8%,44.4%
23,Dusan Lajovic,,,,,,,,2023,return,144.7,29.9%,50.4%,22.3%,42.1%
24,Diego Schwartzman,,,,,,,,2023,return,144.7,30.3%,49.6%,23.4%,41.4%
25,Marton Fucsovics,,,,,,,,2023,return,144.6,30.3%,50.3%,22.0%,42.0%
26,Flavio Cobolli,,,,,,,,2023,return,144.1,32.3%,47.2%,23.9%,40.7%
27,Albert Ramos-Vinolas,,,,,,,,2023,return,144.0,29.3%,50.2%,22.4%,42.1%
28,Tommy Paul,,,,,,,,2023,return,143.0,30.2%,51.3%,24.1%,37.4%
29,Casper Ruud,,,,,,,,2023,return,142.9,30.2%,50.8%,23.3%,38.6%
30,Roberto Carballes Baena,,,,,,,,2023,return,142.0,27.6%,51.1%,22.0%,41.3%
31,Gael Monfils,,,,,,,,2023,return,142.0,30.8%,47.5%,24.1%,39.6%
32,Cristian Garin,,,,,,,,2023,return,141.1,29.7%,49.8%,22.9%,38.7%
33,Miomir Kecmanovic,,,,,,,,2023,return,140.7,27.8%,51.1%,21.7%,40.1%
34,Emil Ruusuvuori,,,,,,,,2023,return,140.7,28.2%,50.4%,21.2%,40.9%
35,Matteo Arnaldi,,,,,,,,2023,return,140.3,27.4%,51.3%,19.9%,41.7%
36,Alex Molcan,,,,,,,,2023,return,140.3,28.2%,49.7%,21.8%,40.6%
37,Alexander Zverev,,,,,,,,2023,return,140.1,28.9%,51.8%,23.0%,36.4%
38,Botic van de Zandschulp,,,,,,,,2023,return,139.8,31.4%,50.0%,22.6%,35.8%
39,Denis Shapovalov,,,,,,,,2023,return,139.6,29.5%,48.3%,21.1%,40.7%
40,Frances Tiafoe,,,,,,,,2023,return,139.5,27.4%,51.2%,22.2%,38.7%
41,Alexander Shevchenko,,,,,,,,2023,return,139.3,27.4%,49.2%,21.4%,41.3%
42,Richard Gasquet,,,,,,,,2023,return,139.2,27.2%,49.8%,19.6%,42.6%
43,Yannick Hanfmann,,,,,,,,2023,return,138.8,31.4%,49.5%,21.6%,36.3%
44,Holger Rune,,,,,,,,2023,return,138.8,28.8%,49.3%,21.4%,39.3%
45,J.J. Wolf,,,,,,,,2023,return,138.7,27.7%,48.9%,20.1%,42.0%
46,Alexandre Muller,,,,,,,,2023,return,138.3,29.7%,47.9%,19.4%,41.3%
47,Tomas Martin Etcheverry,,,,,,,,2023,return,137.9,30.0%,50.0%,21.7%,36.2%
48,Yoshihito Nishioka,,,,,,,,2023,return,137.9,26.3%,51.6%,21.3%,38.7%
49,Sebastian Korda,,,,,,,,2023,return,137.7,25.9%,51.3%,19.8%,40.7%
50,Ugo Humbert,,,,,,,,2023,return,137.5,28.9%,50.3%,22.3%,36.0%
1,Diego Schwartzman,,,,,,,,2022,return,163.5,35.3%,54.0%,31.5%,42.7%
2,Rafael Nadal,,,,,,,,2022,return,162.6,34.2%,53.9%,31.0%,43.5%
3,Novak Djokovic,,,,,,,,2022,return,160.1,33.0%,56.0%,28.6%,42.5%
4,Carlos Alcaraz,,,,,,,,2022,return,158.6,34.0%,53.4%,30.8%,40.4%
5,Alex de Minaur,,,,,,,,2022,return,158.3,33.1%,52.6%,28.6%,44.0%
6,Mikael Ymer,,,,,,,,2022,return,158.2,33.8%,52.2%,29.6%,42.6%
7,Alejandro Tabilo,,,,,,,,2022,return,157.8,33.2%,52.1%,29.0%,43.5%
8,Daniil Medvedev,,,,,,,,2022,return,154.7,31.7%,53.9%,26.7%,42.4%
9,Francisco Cerundolo,,,,,,,,2022,return,154.1,32.7%,52.4%,27.6%,41.4%
