Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
Alex de Minaur,1,2024,165.6,33.0,55.9,31.6,45.1
Carlos Alcaraz,2,2024,162.2,34.4,54.3,30.8,42.7
Jannik Sinner,3,2024,158.4,31.7,56.1,28.3,42.3
Novak Djokovic,4,2024,157.7,32.6,54.7,29.0,41.4
Tommy Paul,5,2024,157.2,33.8,52.2,28.6,42.6
Mariano Navone,6,2024,156.9,33.4,51.9,28.5,43.1
Daniil Medvedev,7,2024,156.5,32.2,52.8,27.5,44.0
Sebastian Baez,8,2024,152.6,33.2,51.1,27.4,40.9
Jaume Munar,9,2024,151.1,34.5,51.6,27.3,37.7
Jack Draper,10,2024,149.3,29.7,51.0,24.8,43.8
Facundo Diaz Acosta,11,2024,147.7,31.7,50.9,25.1,40.0
Tomas Machac,12,2024,147.5,29.4,51.5,24.3,42.3
David Goffin,13,2024,147.4,30.7,51.1,26.2,39.4
Francisco Cerundolo,14,2024,147.2,31.3,49.8,24.1,42.0
Pedro Martinez,15,2024,144.5,29.1,52.7,23.2,39.5
Matteo Arnaldi,16,2024,144.3,31.4,48.3,23.8,40.8
Alexandre Muller,17,2024,144.1,27.4,53.4,23.7,39.6
Casper Ruud,18,2024,143.7,29.6,50.3,23.8,40.0
Alex Michelsen,19,2024,142.4,28.6,50.2,22.5,41.1
Roberto Bautista Agut,20,2024,142.2,27.0,53.1,21.0,41.1
Dusan Lajovic,21,2024,142.1,29.2,50.0,22.7,40.2
Alejandro Davidovich Fokina,22,2024,141.4,29.1,50.3,22.6,39.4
Fabian Marozsan,23,2024,141.3,27.5,51.4,21.4,41.0
Nuno Borges,24,2024,141.1,28.7,52.6,21.3,38.5
Sebastian Korda,25,2024,140.9,28.3,52.1,22.2,38.3
Karen Khachanov,26,2024,140.9,27.5,51.9,21.7,39.8
Alexander Zverev,27,2024,140.3,29.5,51.4,22.3,37.1
Cameron Norrie,28,2024,140.2,28.9,49.6,21.9,39.8
Luciano Darderi,29,2024,139.6,28.4,50.7,21.4,39.1
Alexander Shevchenko,30,2024,139.0,28.4,50.5,19.9,40.2
Grigor Dimitrov,31,2024,138.9,28.8,51.1,21.6,37.4
Felix Auger-Aliassime,32,2024,138.8,30.6,47.1,20.2,40.9
Flavio Cobolli,33,2024,138.6,27.0,50.3,21.3,40.0
Tomas Martin Etcheverry,34,2024,138.4,27.9,50.9,21.9,37.7
Lorenzo Musetti,35,2024,138.4,28.5,51.5,21.5,36.9
Ugo Humbert,36,2024,138.3,28.7,50.1,21.8,37.7
Arthur Fils,37,2024,138.0,29.4,48.4,20.3,39.9
Jakub Mensik,38,2024,138.0,27.2,50.5,20.1,40.2
Stefanos Tsitsipas,39,2024,137.9,27.9,47.8,21.5,40.7
Botic van de Zandschulp,40,2024,137.9,28.9,50.5,21.2,37.3
Roberto Carballes Baena,41,2024,137.5,29.9,50.7,21.2,35.7
Pavel Kotov,42,2024,137.3,27.6,48.4,20.2,41.1
Andrey Rublev,43,2024,136.0,28.2,51.9,20.4,35.5
Alejandro Tabilo,44,2024,136.0,26.7,50.7,19.4,39.2
Taylor Fritz,45,2024,135.6,27.5,49.6,20.0,38.5
Sebastian Ofner,46,2024,135.3,27.7,47.1,18.3,42.2
Miomir Kecmanovic,47,2024,135.1,27.0,51.0,19.8,37.3
Alexander Bublik,48,2024,134.9,29.4,46.2,19.5,39.8
Thiago Seyboth Wild,49,2024,134.2,26.9,47.0,18.3,42.0
Yoshihito Nishioka,50,2024,134.0,25.2,50.0,19.5,39.3
Daniil Medvedev,1,2023,163.3,33.0,54.2,30.1,46.0
Novak Djokovic,2,2023,159.3,33.2,54.8,29.2,42.1
Carlos Alcaraz,3,2023,159.0,34.6,53.9,30.7,39.8
Alex de Minaur,4,2023,157.1,33.3,52.1,28.6,43.1
